time_data,waveform
0.010423295999999999,1.86328
0.0104236032,1.91797
0.0104239104,1.91016
0.0104242176,1.88672
0.010424524799999998,1.91797
0.010424831999999998,1.91016
0.0104251392,1.89453
0.0104254464,1.87109
0.0104257536,1.89453
0.010426060800000001,1.91016
0.010426367999999998,1.87109
0.010426675199999999,1.86328
0.0104269824,1.86328
0.0104272896,1.91797
0.010427596800000001,1.88672
0.010427903999999998,1.93359
0.010428211199999999,1.86328
0.0104285184,1.91016
0.0104288256,1.88672
0.010429132800000001,1.87109
0.010429439999999998,1.88672
0.010429747199999999,1.88672
0.0104300544,1.87891
0.0104303616,1.88672
0.0104306688,1.89453
0.010430975999999998,1.89453
0.010431283199999999,1.90234
0.0104315904,1.91016
0.0104318976,1.94141
0.0104322048,1.90234
0.010432511999999998,1.91016
0.010432819199999999,1.87109
0.0104331264,1.86328
0.0104334336,1.90234
0.0104337408,1.91016
0.010434047999999998,1.86328
0.010434355199999999,1.91016
0.0104346624,1.88672
0.0104349696,1.88672
0.0104352768,1.89453
0.010435584000000001,1.88672
0.010435891199999998,1.89453
0.010436198399999999,1.87891
0.0104365056,1.88672
0.0104368128,1.91016
0.010437120000000001,1.90234
0.010437427199999998,1.87891
0.010437734399999999,1.88672
0.0104380416,1.87891
0.0104383488,1.88672
0.010438656000000001,1.87891
0.010438963199999998,1.90234
0.010439270399999999,1.88672
0.0104395776,1.87891
0.0104398848,1.90234
0.010440192000000001,1.86328
0.010440499199999998,1.88672
0.010440806399999999,1.87891
0.0104411136,1.89453
0.0104414208,1.87891
0.010441728,1.90234
0.010442035199999998,1.87891
0.010442342399999999,1.90234
0.0104426496,1.88672
0.0104429568,1.90234
0.010443264,1.87109
0.010443571199999998,1.86328
0.010443878399999999,1.86328
0.0104441856,1.90234
0.0104444928,1.90234
0.0104448,1.90234
0.010445107199999998,1.91797
0.010445414399999998,1.88672
0.0104457216,1.88672
0.0104460288,1.89453
0.010446336,1.89453
0.010446643200000001,1.89453
0.010446950399999998,1.87891
0.010447257599999999,1.91016
0.0104475648,1.86328
0.010447872,1.88672
0.010448179200000001,1.88672
0.010448486399999998,1.89453
0.010448793599999999,1.89453
0.0104491008,1.88672
0.010449408,1.91797
0.010449715200000001,1.88672
0.010450022399999998,1.91016
0.010450329599999999,1.91797
0.0104506368,1.93359
0.010450944,1.88672
0.010451251200000001,1.88672
0.010451558399999998,1.89453
0.010451865599999999,1.90234
0.0104521728,1.89453
0.01045248,1.91016
0.0104527872,1.87891
0.010453094399999998,1.89453
0.010453401599999999,1.87891
0.0104537088,1.88672
0.010454016,1.91797
0.0104543232,1.90234
0.010454630399999998,1.87891
0.010454937599999999,1.88672
0.0104552448,1.91797
0.010455552,1.90234
0.0104558592,1.85547
0.010456166399999998,1.87891
0.010456473599999998,1.92578
0.010456780799999999,1.87891
0.010457088,1.90234
0.0104573952,1.88672
0.010457702400000001,1.89453
0.010458009599999998,1.88672
0.010458316799999999,1.89453
0.010458624,1.88672
0.0104589312,1.91016
0.010459238400000001,1.87109
0.010459545599999998,1.91797
0.010459852799999999,1.87891
0.01046016,1.89453
0.0104604672,1.91016
0.010460774400000001,1.93359
0.010461081599999998,1.88672
0.010461388799999999,1.87109
0.010461696,1.89453
0.0104620032,1.87109
0.0104623104,1.88672
0.010462617599999998,1.89453
0.010462924799999999,1.91016
0.010463232,1.88672
0.0104635392,1.91797
0.0104638464,1.87891
0.010464153599999998,1.87891
0.010464460799999999,1.88672
0.010464768,1.90234
0.0104650752,1.91016
0.0104653824,1.91016
0.010465689599999998,1.87891
0.010465996799999999,1.87891
0.010466304,1.84766
0.0104666112,1.88672
0.0104669184,1.88672
0.010467225600000001,1.90234
0.010467532799999998,1.87109
0.010467839999999999,1.89453
0.0104681472,1.88672
0.0104684544,1.90234
0.010468761600000001,1.90234
0.010469068799999998,1.88672
0.010469375999999999,1.91797
0.0104696832,1.91016
0.0104699904,1.88672
0.010470297600000001,1.91016
0.010470604799999998,1.91797
0.010470911999999999,1.91797
0.0104712192,1.89453
0.0104715264,1.87109
0.010471833600000001,1.92578
0.010472140799999998,1.88672
0.010472447999999999,1.92578
0.0104727552,1.91016
0.0104730624,1.89453
0.0104733696,1.89453
0.010473676799999998,1.89453
0.010473983999999999,1.87891
0.0104742912,1.91797
0.0104745984,1.87109
0.0104749056,1.88672
0.010475212799999998,1.91016
0.010475519999999999,1.87109
0.0104758272,1.88672
0.0104761344,1.88672
0.0104764416,1.89453
0.010476748799999998,1.87891
0.010477055999999998,1.87891
0.0104773632,1.91016
0.0104776704,1.88672
0.0104779776,1.87891
0.010478284800000001,1.87109
0.010478591999999998,1.89453
0.010478899199999999,1.91797
0.0104792064,1.90234
0.0104795136,1.87891
0.010479820800000001,1.88672
0.010480127999999998,1.90234
0.010480435199999999,1.88672
0.0104807424,1.88672
0.0104810496,1.91797
0.010481356800000001,1.91016
0.010481663999999998,1.92578
0.010481971199999999,1.89453
0.0104822784,1.88672
0.0104825856,1.91016
0.010482892800000001,1.91797
0.010483199999999998,1.90234
0.010483507199999999,1.86328
0.0104838144,1.90234
0.0104841216,1.88672
0.0104844288,1.91797
0.010484735999999998,1.89453
0.010485043199999999,1.87891
0.0104853504,1.91016
0.0104856576,1.90234
0.0104859648,1.86328
0.010486271999999998,1.91797
0.010486579199999999,1.88672
0.0104868864,1.85547
0.0104871936,1.88672
0.0104875008,1.90234
0.010487807999999998,1.88672
0.010488115199999998,1.91016
0.010488422399999999,1.90234
0.0104887296,1.91016
0.0104890368,1.88672
0.010489344000000001,1.91016
0.010489651199999998,1.89453
0.010489958399999999,1.87109
0.0104902656,1.90234
0.0104905728,1.90234
0.010490880000000001,1.91016
0.010491187199999998,1.89453
0.010491494399999999,1.88672
0.0104918016,1.91016
0.0104921088,1.90234
0.010492416000000001,1.91797
0.010492723199999998,1.89453
0.010493030399999999,1.88672
0.0104933376,1.87109
0.0104936448,1.89453
0.010493952,1.89453
0.010494259199999998,1.88672
0.010494566399999999,1.90234
0.0104948736,1.92578
0.0104951808,1.91016
0.010495488,1.89453
0.010495795199999998,1.92578
0.010496102399999999,1.91016
0.0104964096,1.91797
